query_id,query_text,core_intent,streaming_service,region,device,modifier,pick1_name,pick1_url,pick2_name,pick2_url,pick3_name,pick3_url
28801,Best VPN for School for Netflix in United States on PC,VPN for School,Netflix,United States,PC,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28802,Cheapest VPN for School for Netflix in United States on PC,VPN for School,Netflix,United States,PC,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28803,Fastest VPN for School for Netflix in United States on PC,VPN for School,Netflix,United States,PC,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28804,Safest VPN for School for Netflix in United States on PC,VPN for School,Netflix,United States,PC,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28805,Best VPN for School for Netflix in United States on iPhone,VPN for School,Netflix,United States,iPhone,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28806,Cheapest VPN for School for Netflix in United States on iPhone,VPN for School,Netflix,United States,iPhone,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28807,Fastest VPN for School for Netflix in United States on iPhone,VPN for School,Netflix,United States,iPhone,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28808,Safest VPN for School for Netflix in United States on iPhone,VPN for School,Netflix,United States,iPhone,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28809,Best VPN for School for Netflix in United States on Android,VPN for School,Netflix,United States,Android,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28810,Cheapest VPN for School for Netflix in United States on Android,VPN for School,Netflix,United States,Android,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28811,Fastest VPN for School for Netflix in United States on Android,VPN for School,Netflix,United States,Android,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28812,Safest VPN for School for Netflix in United States on Android,VPN for School,Netflix,United States,Android,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28813,Best VPN for School for Netflix in United Kingdom on PC,VPN for School,Netflix,United Kingdom,PC,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28814,Cheapest VPN for School for Netflix in United Kingdom on PC,VPN for School,Netflix,United Kingdom,PC,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28815,Fastest VPN for School for Netflix in United Kingdom on PC,VPN for School,Netflix,United Kingdom,PC,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28816,Safest VPN for School for Netflix in United Kingdom on PC,VPN for School,Netflix,United Kingdom,PC,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28817,Best VPN for School for Netflix in United Kingdom on iPhone,VPN for School,Netflix,United Kingdom,iPhone,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28818,Cheapest VPN for School for Netflix in United Kingdom on iPhone,VPN for School,Netflix,United Kingdom,iPhone,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28819,Fastest VPN for School for Netflix in United Kingdom on iPhone,VPN for School,Netflix,United Kingdom,iPhone,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28820,Safest VPN for School for Netflix in United Kingdom on iPhone,VPN for School,Netflix,United Kingdom,iPhone,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28821,Best VPN for School for Netflix in United Kingdom on Android,VPN for School,Netflix,United Kingdom,Android,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28822,Cheapest VPN for School for Netflix in United Kingdom on Android,VPN for School,Netflix,United Kingdom,Android,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28823,Fastest VPN for School for Netflix in United Kingdom on Android,VPN for School,Netflix,United Kingdom,Android,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28824,Safest VPN for School for Netflix in United Kingdom on Android,VPN for School,Netflix,United Kingdom,Android,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28825,Best VPN for School for Netflix in Canada on PC,VPN for School,Netflix,Canada,PC,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28826,Cheapest VPN for School for Netflix in Canada on PC,VPN for School,Netflix,Canada,PC,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28827,Fastest VPN for School for Netflix in Canada on PC,VPN for School,Netflix,Canada,PC,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28828,Safest VPN for School for Netflix in Canada on PC,VPN for School,Netflix,Canada,PC,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28829,Best VPN for School for Netflix in Canada on iPhone,VPN for School,Netflix,Canada,iPhone,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28830,Cheapest VPN for School for Netflix in Canada on iPhone,VPN for School,Netflix,Canada,iPhone,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28831,Fastest VPN for School for Netflix in Canada on iPhone,VPN for School,Netflix,Canada,iPhone,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28832,Safest VPN for School for Netflix in Canada on iPhone,VPN for School,Netflix,Canada,iPhone,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28833,Best VPN for School for Netflix in Canada on Android,VPN for School,Netflix,Canada,Android,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28834,Cheapest VPN for School for Netflix in Canada on Android,VPN for School,Netflix,Canada,Android,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28835,Fastest VPN for School for Netflix in Canada on Android,VPN for School,Netflix,Canada,Android,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28836,Safest VPN for School for Netflix in Canada on Android,VPN for School,Netflix,Canada,Android,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28837,Best VPN for School for Netflix in Germany on PC,VPN for School,Netflix,Germany,PC,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28838,Cheapest VPN for School for Netflix in Germany on PC,VPN for School,Netflix,Germany,PC,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28839,Fastest VPN for School for Netflix in Germany on PC,VPN for School,Netflix,Germany,PC,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28840,Safest VPN for School for Netflix in Germany on PC,VPN for School,Netflix,Germany,PC,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
28841,Best VPN for School for Netflix in Germany on iPhone,VPN for School,Netflix,Germany,iPhone,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
